Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,sub_species,serovar,Isolation_source,collected_by,Host_disease,Lat_Lon,sample_type,strain,serotype
SRR9925536,WGS,430,537626252,PRJNA548885,SAMN12531031,Pathogen.cl,302327739,USDA-NVSL-DBL,not collected,public,"fastq,realign,sra,wgmlst_sig","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX6674477,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,18-037531-001,18-037531-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica,ILLUMINA,2019-08-08T00:00:00Z,18-037531-001,SRP201758,enterica,,not collected,not collected,not collected,not collected,,not collected,"4\,[5]\,12:i:-"
SRR9925537,WGS,416,475753101,PRJNA548885,SAMN12531030,Pathogen.cl,257687199,USDA-NVSL-DBL,not collected,public,"sra,fastq,wgmlst_sig,realign","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6674476,uncalculated,uncalculated,not collected,Dog,Illumina MiSeq,18-036245-001,18-036245-001,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Newport,ILLUMINA,2019-08-08T00:00:00Z,18-036245-001,SRP201758,enterica,Newport,not collected,not collected,not collected,not collected,,not collected,
SRR9320265,WGS,456,483747848,PRJNA548885,SAMN12086276,Pathogen.cl,276838105,USDA-NVSL-DBL,not collected,public,"sra,realign,fastq,wgmlst_sig","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX6087792,uncalculated,uncalculated,not collected,hedgehog,Illumina MiSeq,APHI-15-05296,APHI-15-05296,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2019-06-18T00:00:00Z,APHI-15-05296,SRP201758,enterica,Typhimurium,not collected,not collected,not collected,not collected,,not collected,
SRR9320266,WGS,448,513297843,PRJNA548885,SAMN12086277,Pathogen.cl,296158902,USDA-NVSL-DBL,not collected,public,"sra,fastq,wgmlst_sig,realign","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX6087791,uncalculated,uncalculated,not collected,hedgehog,Illumina MiSeq,APHI-15-12284,APHI-15-12284,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2019-06-18T00:00:00Z,APHI-15-12284,SRP201758,enterica,Typhimurium,not collected,not collected,not collected,not collected,,not collected,
SRR9320267,WGS,456,451930918,PRJNA548885,SAMN12086278,Pathogen.cl,264776658,USDA-NVSL-DBL,not collected,public,"sra,realign,fastq,wgmlst_sig","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX6087790,uncalculated,uncalculated,not collected,hedgehog,Illumina MiSeq,APHI-16-02927,APHI-16-02927,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2019-06-18T00:00:00Z,APHI-16-02927,SRP201758,enterica,Typhimurium,not collected,not collected,not collected,not collected,,not collected,
SRR9320268,WGS,449,488645696,PRJNA548885,SAMN12086279,Pathogen.cl,271444901,USDA-NVSL-DBL,not collected,public,"realign,fastq,sra,wgmlst_sig","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX6087789,uncalculated,uncalculated,not collected,hedgehog,Illumina MiSeq,APHI-17-07223,APHI-17-07223,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2019-06-18T00:00:00Z,APHI-17-07223,SRP201758,enterica,Typhimurium,not collected,not collected,not collected,not collected,,not collected,
SRR9320269,WGS,455,575722666,PRJNA548885,SAMN12086280,Pathogen.cl,319848455,USDA-NVSL-DBL,not collected,public,"sra,wgmlst_sig,fastq,realign","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX6087788,uncalculated,uncalculated,not collected,hedgehog,Illumina MiSeq,APHI-17-07226,APHI-17-07226,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2019-06-18T00:00:00Z,APHI-17-07226,SRP201758,enterica,Typhimurium,not collected,not collected,not collected,not collected,,not collected,
SRR9320270,WGS,455,528205799,PRJNA548885,SAMN12086281,Pathogen.cl,310592657,USDA-NVSL-DBL,not collected,public,"fastq,sra,wgmlst_sig,realign","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX6087787,uncalculated,uncalculated,not collected,hedgehog,Illumina MiSeq,APHI-17-12636,APHI-17-12636,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2019-06-18T00:00:00Z,APHI-17-12636,SRP201758,enterica,Typhimurium,not collected,not collected,not collected,not collected,,not collected,
SRR9320271,WGS,454,531330585,PRJNA548885,SAMN12086282,Pathogen.cl,298993964,USDA-NVSL-DBL,not collected,public,"sra,realign,wgmlst_sig,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6087786,uncalculated,uncalculated,not collected,hedgehog,Illumina MiSeq,APHI-18-07591,APHI-18-07591,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2019-06-18T00:00:00Z,APHI-18-07591,SRP201758,enterica,Typhimurium,not collected,not collected,not collected,not collected,,not collected,
SRR9320272,WGS,457,481588054,PRJNA548885,SAMN12086283,Pathogen.cl,271633117,USDA-NVSL-DBL,not collected,public,"wgmlst_sig,sra,fastq,realign","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6087785,uncalculated,uncalculated,not collected,hedgehog,Illumina MiSeq,APHI-19-03002,APHI-19-03002,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2019-06-18T00:00:00Z,APHI-19-03002,SRP201758,enterica,Typhimurium,not collected,not collected,not collected,not collected,,not collected,
SRR10740739,WGS,456,490678774,PRJNA548885,SAMN13637061,"Microbe\, viral or environmental",281657800,USDA-NVSL-DBL,not collected,public,"sra,fastq,wgmlst_sig,realign","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7416344,uncalculated,uncalculated,not collected,not collected,Illumina MiSeq,19-037946-Calf112-3-15-2012,19-037946-Calf112-3-15-2012,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica,ILLUMINA,2019-12-19T00:00:00Z,19-037946-Calf112-3-15-2012,SRP201758,enterica,,,,,,not collected,,
SRR10740740,WGS,446,458887318,PRJNA548885,SAMN13637060,"Microbe\, viral or environmental",253359794,USDA-NVSL-DBL,not collected,public,"fastq,realign,wgmlst_sig,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7416343,uncalculated,uncalculated,not collected,not collected,Illumina MiSeq,19-037946-Calf703-8-8-2017,19-037946-Calf703-8-8-2017,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica,ILLUMINA,2019-12-19T00:00:00Z,19-037946-Calf703-8-8-2017,SRP201758,enterica,,,,,,not collected,,
SRR10740741,WGS,446,391866388,PRJNA548885,SAMN13637059,"Microbe\, viral or environmental",223688078,USDA-NVSL-DBL,not collected,public,"sra,wgmlst_sig,fastq,realign","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX7416342,uncalculated,uncalculated,not collected,not collected,Illumina MiSeq,19-037946-Cow318E2016,19-037946-Cow318E2016,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica,ILLUMINA,2019-12-19T00:00:00Z,19-037946-Cow318E2016,SRP201758,enterica,,,,,,not collected,,
SRR10740742,WGS,449,432280985,PRJNA548885,SAMN13637058,"Microbe\, viral or environmental",241168134,USDA-NVSL-DBL,not collected,public,"wgmlst_sig,fastq,realign,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7416341,uncalculated,uncalculated,not collected,not collected,Illumina MiSeq,19-037946-AUVER19-1,19-037946-AUVER19-1,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica,ILLUMINA,2019-12-19T00:00:00Z,19-037946-AUVER19-1,SRP201758,enterica,,,,,,not collected,,
SRR10740743,WGS,450,429998769,PRJNA548885,SAMN13637057,"Microbe\, viral or environmental",242991887,USDA-NVSL-DBL,not collected,public,"wgmlst_sig,realign,fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7416340,uncalculated,uncalculated,not collected,not collected,Illumina MiSeq,19-037946-AUCVM16-178,19-037946-AUCVM16-178,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica,ILLUMINA,2019-12-19T00:00:00Z,19-037946-AUCVM16-178,SRP201758,enterica,,,,,,not collected,,
